,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,流水蝦正夯，吃泰國蝦吃到厭世！10米水道流水泰國蝦無限吃到飽！泰蝦PA水道泰國蝦吃到飽,流水蝦-泰蝦PA水道泰國蝦吃到飽,4.6,林口區,2019/04/22,3695,180,10,4人來過,2篇食記
第二名,一個人也能吃的泰式料理，限量供應CNN評選世界50大美食第一名的巴東牛肉飯．Pretty Thai 泰之霸,Pretty Thai 泰之霸,4.6,大安區,2019/04/23,3519,252,7,4人來過,2篇食記
第三名,台北京站 燒肉LIKE 一人燒肉店，單身也能輕鬆吃烤肉 ,焼肉ライク 燒肉LIKE,無紀錄,大同區,2019/04/25,2420,194,6,8人來過,5篇食記
第四名,景美美食 滿滿-景美平價美食！韓風炸雞店！咖哩六十元起！(附滿滿MENU),滿滿 炸雞 咖哩 燒酒,4.6,文山區,2019/04/22,1483,132,5,2人來過,1篇食記
第五名,【台北松江南京美食】丰禾日麗台式小館 王品集團新品牌！傳統台菜復刻重現,丰禾日麗 台北南京東店,4.6,中山區,2019/04/26,1755,116,8,8人來過,4篇食記
第六名,小山拉麵｜台北市松山區｜不是二郎系應該是二郎インスパイア吧｜總之是超大份量拉麵150元起,小山拉麵,無紀錄,松山區,2019/04/24,1536,96,5,2人來過,1篇食記
第七名,萬華美食:濟善老麵 台北雞湯拉麵推薦，招牌老雞湯麵到限定版極黑羽烏骨雞黑拉麵,濟善老麵,4.4,萬華區,2019/04/22,1178,133,3,5人來過,3篇食記
第八名,阿淑小吃 隱身巷弄現炒肉絲飯、排骨飯！在地人推薦平價便當,阿淑小吃,4.4,士林區,2019/04/20,2049,84,3,13人來過,5篇食記
第九名,A&A異國料理 - 台北中正區新開幕異國料理  紐澳良風味特色餐點  還有超牽絲深盤披薩  就是要讓你感到超罪惡,A&A異國美食,5,中正區,2019/04/20,1317,97,3,3人來過,2篇食記
第十名,日本超人氣「鳥取Trees bread吐司專賣店」｜超Q超軟的吐司,高級食パン専門店 TREES BREAD,4.7,松山區,2019/04/26,1754,116,2,2人來過,1篇食記
第十一名,鄭記豬腳飯 傳承二代66年老店，食尚家推薦台北三大必吃小吃,鄭記豬腳飯,4.3,中正區,2019/04/24,1593,93,4,30人來過,17篇食記
第十二名,點八號，東區平價米其林港式飲茶，星級名廚道地港式美食，台北/國父紀念館站美食。,點8號-台北光復店,4.5,大安區,2019/04/20,1182,80,6,9人來過,6篇食記
第十三名,風華正盛十里香，幽幽思念穿腸過《麗芳老樓》 老宅裡的義式美味,麗芳老樓,4.8,中山區,2019/04/24,1855,85,6,3人來過,1篇食記
第十四名,面線町｜海陸奢華集合！海王子三寶麵線,面線町,4.8,大同區,2019/04/26,1497,108,2,1人來過,1篇食記
第十五名,內科最夯的排隊美食 富滿堂豬腳極品專賣店 西湖站必吃推薦 菜單,富滿堂豬腳極品,3.4,內湖區,2019/04/21,1187,70,6,17人來過,7篇食記
第十六名,台北市80元吃得到超人氣咖哩飯 六甲章魚燒 中山站排隊美食 街頭暢飲SAPPORO啤酒,六甲章魚燒,4.3,中山區,2019/04/23,1155,80,3,24人來過,9篇食記
第十七名,Pizza界的LV，頂級酥香餅皮顛覆Pizza口感，義大利米蘭手工窯烤披薩,Milano Pizzeria 義大利米蘭手工窯烤披薩,4.2,中山區,2019/04/25,1289,94,4,70人來過,58篇食記
第十八名,本鼎堂 台式漢方麻辣鍋。中藥房內吃麻辣鍋 古味十足。可以喝的麻辣湯、麻辣滷肉飯 頭皮發麻也停不下來的好滋味 。大稻埕美食 ,本鼎堂  台式漢方麻辣鍋,無紀錄,大同區,2019/04/20,831,79,1,1人來過,1篇食記
第十九名,mumi cafe｜DIY自烤吐司｜韓式網美咖啡店｜捷運大安站,mumi cafe,無紀錄,大安區,2019/04/25,1005,94,1,6人來過,4篇食記
第二十名,傳承四代的七十年川味老麵店＿担担麵和排骨飯都討喜＿老鄧担担麵,老鄧Lao Deng1949,3.6,中正區,2019/04/26,2378,87,2,1人來過,1篇食記
