,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,IG火紅冰品，來自日本的膠原蛋白牛奶冰，吸睛又美味．大とろ牛乳Ootoromilk (台北店),終於吃到必吃九宮格！搬到市區超方便！人氣依舊滿滿超好拍「吾獨食驗室」（菜單）,IKEA新店店｜玻璃屋景觀餐廳、IKEA CAFÉ、挑高設計商場、與捷運相連，新店最美的IKEA誕生！,"雞窩餐廳-人少也能吃驥園砂鍋土雞湯,台北信義安和站中式聚餐推薦",爆漿芋泥肉鬆起酥麵包，超ㄉㄨㄞ的芋頭水晶蛋糕，厚實的芋泥餡難以招架．土司吐司烘焙坊,金澤咖哩不用飛到北陸也吃的到，日本人開的咖哩專賣店，三重私房美食又添一．No.1咖哩,泰蝦PA水道泰國蝦吃到飽/蝦控必訪水道流水泰國蝦無限吃到飽餐廳,台北Sweet Josun 誠品南西店｜一個人的韓式炸雞這裡吃(韓國品牌炸雞速食店),食鮮日式火鍋 399元吃到飽還免服務費! 現做手卷、肉品，還有隱藏特製味噌魚頭湯,起司控與芋泥控都可以！早餐店的手工蛋餅，中正紀念堂附近早餐店～早澤,雷記燒臘，七寶飯超浮誇、招牌飯最受歡迎,藏在二樓，連在地人都不知道的好吃咖哩和紅酒牛肋飯！大推薦～再訪度百分之百！小說食堂重新店(雙爸私廚),在地人才知道的好吃手工蛋餅，半熟蛋蛋餅是隱藏版點法．百屯豆漿,老椰兄新泰式料理│大直ATT泰好吃，南洋泰式新風味！ 大直att美食、大直att餐廳,天母小吃｜好食在．超實在的麵店手工蘿蔔糕更是不能錯過,綻1852 牛排館，牛排龍蝦專門店 (前雅室牛排主廚) (文末菜單),台北美食 Kachi泡芙-逢甲夜市排隊美食來台北快閃！就在SOGO忠孝館！,竹林雞肉＿肉質軟嫩雞皮Q彈，配上雞油飯簡直銷魂＿辣拌麵意外討喜,Engolili 英格莉莉。全新英式華麗下午茶，鳥籠三層架、狂野豹紋厚鬆餅，近期最狂網美打卡地標！,蘭芳麵食館_這小麵夠勁！香麻辣味皆俱全|蘭芳滷菜攤 / 遼寧夜市必吃美食 / 中山好吃麵食『台北中山 · 南京復興捷運』
餐廳名稱,Ootoro Milk 台北分舖,吾獨食驗室 woodoofoodlab(東區總店),宜家國際室內裝修有限公司,雞窩餐廳,ToasToast 土司吐司,金澤咖哩,流水蝦-泰蝦PA水道泰國蝦吃到飽,SWEET JOSUN-誠品南西店,食鮮日式火鍋,早澤,雷記燒臘餐廳,雙爸私廚,百屯豆漿,老椰兄新泰式料理,好食在,綻1852 牛排館,Kachi泡芙,竹林雞肉,Engolili 英格莉莉,蘭芳麵食館
評級,4.5,4.4,無紀錄,4.2,3.9,無紀錄,4.3,3,3.2,4,3.9,無紀錄,4.4,5,4.4,4.7,無紀錄,4,無紀錄,4.2
美食所在區域,大安區,大安區,新店區,大安區,中正區,三重區,林口區,中山區,中山區,中正區,信義區,三重區,三重區,中山區,士林區,中山區,大安區,永和區,中山區,中山區
產生日期,2019/05/12,2019/05/14,2019/05/11,2019/05/15,2019/05/16,2019/05/13,2019/05/13,2019/05/14,2019/05/12,2019/05/12,2019/05/12,2019/05/15,2019/05/17,2019/05/11,2019/05/15,2019/05/11,2019/05/15,2019/05/11,2019/05/14,2019/05/17
觀看人數,1585,2421,2140,875,1543,1377,1292,1176,856,1137,1590,1131,1774,800,811,838,786,858,490,1140
收藏人數,158,131,44,85,78,78,54,79,64,77,46,55,54,46,61,56,44,49,53,50
推薦人數,6,5,5,2,6,2,4,2,2,0,4,3,7,2,3,4,2,2,0,4
多少人來過,1人來過,1人來過,1人來過,35人來過,103人來過,1人來過,6人來過,3人來過,12人來過,37人來過,1人來過,無紀錄,6人來過,1人來過,2人來過,11人來過,無紀錄,11人來過,4人來過,65人來過
多少篇食記,1篇食記,1篇食記,1篇食記,13篇食記,11篇食記,1篇食記,3篇食記,2篇食記,7篇食記,18篇食記,1篇食記,無紀錄,2篇食記,1篇食記,2篇食記,7篇食記,無紀錄,4篇食記,4篇食記,29篇食記
