,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,大阪爆紅的生吐司在台灣也吃得到囉！超濕潤的口感，吐司邊毫無存在感．Share le Pain 微酵烘焙,Share le Pain微酵烘焙 忠孝復興店,3.5,大安區,2019/05/20,2559,158,3,4人來過,3篇食記
第二名,台北中山:美天餐室 90年代舊香港茶餐廳，聽劉德華吃西多士、金山醬烤雞腿，再喝杯鴛鴦絲襪奶茶,美天餐室 DAY DAY,4.6,中山區,2019/05/20,1501,172,1,2人來過,2篇食記
第三名,好食多涮涮屋南西店新開幕，超大肉盤始祖、開幕優惠活龍蝦一隻僅 $300超划算😍 (文末菜單),好食多涮涮屋 南西店,5,中山區,2019/05/22,1080,68,5,1人來過,1篇食記
第四名,在地人都電話預訂隱藏版排隊雞排，豆乳鹽酥雞老字號！ 西門町雞排、180c古早味鹽酥雞,180度C蜜酥雞排,4.5,萬華區,2019/05/21,1590,79,4,10人來過,4篇食記
第五名,浮誇系海鮮麵線，小卷鮮蚵大腸五種配料一次塞爆麵線!! 面線町,面線町,4.8,大同區,2019/05/20,1251,80,5,2人來過,2篇食記
第六名,福德涼麵│24小時營業│人氣排隊名店,福德涼麵,3.8,中山區,2019/05/18,1629,60,5,37人來過,16篇食記
第七名,滷味的價格、鐵板燒的食材，雞睪丸、牛鞭、澎湖小卷、日本干貝通通都能滷．美鳳滷味,美鳳滷味,無紀錄,三重區,2019/05/23,1602,57,3,無紀錄,無紀錄
第八名,"台北咖哩飯新開幕-CURRY STAND 1983,好吃日式乾咖哩＆燉牛肉,中山國中站美食推薦",CURRY STAND 1983,4.7,松山區,2019/05/24,1402,66,2,1人來過,1篇食記
第九名,台北人的宵夜和早餐！越晚越多人～劉媽媽涼麵，蒜味濃郁好吃，邪惡半熟蛋,劉媽媽涼麵,3.9,松山區,2019/05/22,1375,55,2,12人來過,9篇食記
第十名,配菜豐富物有所值的日式定食-芝生食堂(忠孝新生店)@捷運忠孝新生站@台北科技大學,芝生食堂 忠孝新生店,4.5,中正區,2019/05/19,1153,52,2,5人來過,2篇食記
第十一名,傑克兄弟牛排館 臺北信義店 Jack Brothers Steakhouse Taipei｜正宗美式爐烤肋眼牛排．信義區超高CP值牛排館！,傑克兄弟牛排館 Jack Brothers Streakhouse,4.4,信義區,2019/05/18,863,65,4,1人來過,1篇食記
第十二名,何家古制秘糖 甜而不膩的冰品 IG熱門花生豬血糕冰 珍珠奶茶雪花冰/珍想芋見泥 板橋必吃美食 かき氷,何家古制秘糖冰甜品鋪,4.3,板橋區,2019/05/21,797,57,1,25人來過,10篇食記
第十三名,"台北東區忠孝復興宵夜聚餐:十二月粥品·茶飲·私房菜大安店,也有一人份的砂鍋粥",十二月 粥品·茶飲·私房菜(大安店),4.4,大安區,2019/05/18,611,57,4,11人來過,5篇食記
第十四名,"揚日式料理(生魚片蓋飯),網友大推超威的生魚丼飯,客製化丼飯,中和巷弄美食,無法訂位",揚日式料理,4.7,中和區,2019/05/19,710,54,4,22人來過,4篇食記
第十五名,金香豬腳。涼麵＿豪邁的將滷大腸一口塞進嘴巴好過癮＿膠質滿滿的滷肉飯很可以,金香豬腳涼麵,4.5,中山區,2019/05/20,953,52,1,5人來過,3篇食記
第十六名,台北大安｜菊乃屋kikunoya～質感無印風日式自助食堂！東京咖哩姊妹店的美味定食料理（捷運大安站）～,菊乃屋Kikunoya,無紀錄,大安區,2019/05/20,752,50,1,3人來過,2篇食記
第十七名,潮州街林記牛肉麵(水缸牛肉麵)，巷弄內平價又神秘的超夯牛肉麵店，記得點隱藏版！,潮州街林記牛肉麵 (水缸牛肉麵),4.3,大安區,2019/05/21,828,55,1,23人來過,5篇食記
第十八名,古亭巷弄裡的小日本，用餐時間總是爆滿的正宗大阪燒-紅葉日式愛好燒 お好み焼もみじ||中正區、古亭美食,紅葉日式愛好燒,4.2,中正區,2019/05/21,964,45,1,30人來過,11篇食記
第十九名,中崙市場 | 香港陳記燒臘便當粥麵，大推土油雞腿、烤鴨腿  😍,香港陳記燒臘便當粥麵,4,松山區,2019/05/23,930,46,5,4人來過,2篇食記
第二十名,【行天宮早餐推薦】良栗商號 巷弄銷魂美食！爆漿半熟蛋炭烤吐司、冬瓜鮮奶茶,良粟 朝食午膳,3.9,中山區,2019/05/18,757,47,2,41人來過,18篇食記
