,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,"邱太太甜品坊,爆流的芋泥土石泥,台北人氣芋頭冰,點上一碗二個人吃剛剛好,下午茶點心,外帶,外送,內用",孔明堂｜來這只買草莓大福和麵包？隱藏版蛋黃酥才是重點！,板橋美食:星馬廚房 色澤誘人的海南雞飯、燒雞腿飯、椒麻豬排，高人氣在地平價星馬料理,咖啡+按摩只要199元！全台首間睡眠咖啡館，快速充電補給站．小憩睡眠咖啡館,鮨 松濤，捷運劍潭站神祕低調江戶前壽司,台北陳耀訓・麵包埠Yoshi Bakery｜世界麵包冠軍北上開店話題十足,台北早午餐推薦！好拍小清新早餐店，手桿蛋餅、本丸有創意！沐沐家朝食（氵木氵木 · 家）MuMuJia,裸湯拉麵,珍好呷越南河粉｜藏身士東市場份量大到連國父都會怕的越南美食,古亭站美食，隱藏版巷弄美食，日本爺爺掌廚的日式炒麵、愛好燒．紅葉日式愛好燒,享鴨｜王品烤鴨品牌｜兩人也能吃｜東區美食,小凱悅南村小吃店 四四南村巷弄眷村味，平價好吃炒麵滷味,公館美食，必吃酥香的冰火菠蘿油以及秘制絲襪奶茶．何太守港式菠蘿包專賣店,玖佰號烤豬五花、火鍋，兩百元就能吃平價版七色五花豬烤肉，萬華區美食(姊姊食記),台北早餐：mornings 流浪早餐車｜限定三個半小時的早餐時間，與鐵板三明治說聲早安！,台北合菜推薦 :: 金山客家小館 藏不住香氣的客家菜！,微風南山Mad For Garlic｜每週二半價的韓國蒜頭主題餐廳,"蕭家牛雜湯│網譽台北最好吃的牛雜湯！ 民生社區美食、,新東街美食",一期一會 鮨  みね すし 高CP值系的壽司店 十二貫不錯吃的握壽司只要1200元 建議大家一定事先要預約 附菜單,【台北車站咖啡廳】Heritage Bakery & Cafe 好吃肉桂捲、紅心芭樂戚風蛋糕
餐廳名稱,邱太太甜品坊,孔明堂,海南佬星馬廚房,小憩睡眠咖啡館,松濤 鮨,陳耀訓·麵包埠 YOSHI BAKERY,沐沐家朝食 MuMuJia,裸湯拉麵,珍好呷越南河粉,紅葉日式愛好燒,享鴨 烤鴨與中華料理,小凱悅南村小吃店,何太守港式菠蘿包專賣店,玖佰號,mornings 流浪早餐車,金山客家小館,Mad For Garlic,蕭家牛雜湯,一期一會（鮨),Heritage Bakery & Cafe
評級,4.3,無紀錄,4.3,5,4.6,4.7,4.4,4.5,4.2,4.2,4.7,3.9,4.3,4.1,無紀錄,4.1,3.3,4.3,4.5,4.5
美食所在區域,中山區,士林區,板橋區,中山區,士林區,松山區,大同區,大安區,士林區,中正區,大安區,信義區,中正區,萬華區,大安區,松山區,信義區,松山區,松山區,中正區
產生日期,2019/05/28,2019/05/27,2019/05/26,2019/05/28,2019/05/31,2019/05/25,2019/05/28,2019/05/29,2019/05/27,2019/05/29,2019/05/28,2019/05/30,2019/05/25,2019/05/30,2019/05/25,2019/05/25,2019/05/31,2019/05/25,2019/05/26,2019/05/25
觀看人數,1849,2321,1479,1490,1450,1659,1485,1473,1132,1221,1063,1266,816,1057,1157,1349,1021,861,1405,681
收藏人數,133,112,110,63,95,66,94,88,85,87,83,69,56,62,50,54,52,58,51,56
推薦人數,1,4,4,1,10,7,1,9,4,2,3,4,1,1,5,7,3,1,3,2
多少人來過,1人來過,無紀錄,8人來過,1人來過,6人來過,1人來過,2人來過,13人來過,1人來過,31人來過,19人來過,11人來過,15人來過,37人來過,無紀錄,4人來過,13人來過,30人來過,26人來過,20人來過
多少篇食記,1篇食記,無紀錄,5篇食記,1篇食記,6篇食記,1篇食記,2篇食記,5篇食記,1篇食記,12篇食記,15篇食記,6篇食記,6篇食記,10篇食記,無紀錄,3篇食記,6篇食記,13篇食記,17篇食記,15篇食記
