,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,"邱太太甜品坊,爆流的芋泥土石泥,台北人氣芋頭冰,點上一碗二個人吃剛剛好,下午茶點心,外帶,外送,內用",邱太太甜品坊,4.3,中山區,2019/05/28,1849,133,1,1人來過,1篇食記
第二名,孔明堂｜來這只買草莓大福和麵包？隱藏版蛋黃酥才是重點！,孔明堂,無紀錄,士林區,2019/05/27,2321,112,4,無紀錄,無紀錄
第三名,板橋美食:星馬廚房 色澤誘人的海南雞飯、燒雞腿飯、椒麻豬排，高人氣在地平價星馬料理,海南佬星馬廚房,4.3,板橋區,2019/05/26,1479,110,4,8人來過,5篇食記
第四名,咖啡+按摩只要199元！全台首間睡眠咖啡館，快速充電補給站．小憩睡眠咖啡館,小憩睡眠咖啡館,5,中山區,2019/05/28,1490,63,1,1人來過,1篇食記
第五名,鮨 松濤，捷運劍潭站神祕低調江戶前壽司,松濤 鮨,4.6,士林區,2019/05/31,1450,95,10,6人來過,6篇食記
第六名,台北陳耀訓・麵包埠Yoshi Bakery｜世界麵包冠軍北上開店話題十足,陳耀訓·麵包埠 YOSHI BAKERY,4.7,松山區,2019/05/25,1659,66,7,1人來過,1篇食記
第七名,台北早午餐推薦！好拍小清新早餐店，手桿蛋餅、本丸有創意！沐沐家朝食（氵木氵木 · 家）MuMuJia,沐沐家朝食 MuMuJia,4.4,大同區,2019/05/28,1485,94,1,2人來過,2篇食記
第八名,裸湯拉麵,裸湯拉麵,4.5,大安區,2019/05/29,1473,88,9,13人來過,5篇食記
第九名,珍好呷越南河粉｜藏身士東市場份量大到連國父都會怕的越南美食,珍好呷越南河粉,4.2,士林區,2019/05/27,1132,85,4,1人來過,1篇食記
第十名,古亭站美食，隱藏版巷弄美食，日本爺爺掌廚的日式炒麵、愛好燒．紅葉日式愛好燒,紅葉日式愛好燒,4.2,中正區,2019/05/29,1221,87,2,31人來過,12篇食記
第十一名,享鴨｜王品烤鴨品牌｜兩人也能吃｜東區美食,享鴨 烤鴨與中華料理,4.7,大安區,2019/05/28,1063,83,3,19人來過,15篇食記
第十二名,小凱悅南村小吃店 四四南村巷弄眷村味，平價好吃炒麵滷味,小凱悅南村小吃店,3.9,信義區,2019/05/30,1266,69,4,11人來過,6篇食記
第十三名,公館美食，必吃酥香的冰火菠蘿油以及秘制絲襪奶茶．何太守港式菠蘿包專賣店,何太守港式菠蘿包專賣店,4.3,中正區,2019/05/25,816,56,1,15人來過,6篇食記
第十四名,玖佰號烤豬五花、火鍋，兩百元就能吃平價版七色五花豬烤肉，萬華區美食(姊姊食記),玖佰號,4.1,萬華區,2019/05/30,1057,62,1,37人來過,10篇食記
第十五名,台北早餐：mornings 流浪早餐車｜限定三個半小時的早餐時間，與鐵板三明治說聲早安！,mornings 流浪早餐車,無紀錄,大安區,2019/05/25,1157,50,5,無紀錄,無紀錄
第十六名,台北合菜推薦 :: 金山客家小館 藏不住香氣的客家菜！,金山客家小館,4.1,松山區,2019/05/25,1349,54,7,4人來過,3篇食記
第十七名,微風南山Mad For Garlic｜每週二半價的韓國蒜頭主題餐廳,Mad For Garlic,3.3,信義區,2019/05/31,1021,52,3,13人來過,6篇食記
第十八名,"蕭家牛雜湯│網譽台北最好吃的牛雜湯！ 民生社區美食、,新東街美食",蕭家牛雜湯,4.3,松山區,2019/05/25,861,58,1,30人來過,13篇食記
第十九名,一期一會 鮨  みね すし 高CP值系的壽司店 十二貫不錯吃的握壽司只要1200元 建議大家一定事先要預約 附菜單,一期一會（鮨),4.5,松山區,2019/05/26,1405,51,3,26人來過,17篇食記
第二十名,【台北車站咖啡廳】Heritage Bakery & Cafe 好吃肉桂捲、紅心芭樂戚風蛋糕,Heritage Bakery & Cafe,4.5,中正區,2019/05/25,681,56,2,20人來過,15篇食記
