,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,行天宮美食，巷弄中的秒殺甜點，口味超多超平價的泡芙．諾緯手工鮮奶泡芙,Baba Kevin BBQ 近行天宮的最強美式烤肉餐廳！,死忠追隨ㄟ高CP值廚藝競賽冠軍泰式家鄉料理食堂 - Lisa 泰式美食｜民權西路站,捷運國父紀念館美食推薦|拿走雞蛋糕 巷子內的精品雞蛋糕不吃可惜,日本超人氣鰻魚飯台灣首發店，不用出國就能吃到道地京都鰻魚飯！江戶川鰻魚飯-台灣一號店,南京復興站美食，兄弟飯店的壽司飯丸專賣店，超過20餘種的飯糰選擇,光華商場美食推薦|喬喜蛋炒飯專賣店 炒飯好吃且種類超多(價錢菜單),維記茶餐廳 台灣第一家茶餐廳 招牌乾隆蜜汁花雕雞超下飯 道地香港味,王品新餐廳 丰禾日麗台式小館 復刻台菜料理 南京東路聚餐推薦 母親節 包廂餐廳,新菜單！餐點超意外高水平！浮誇系調酒每人獨一無二～服務超好毫無拘束「昨天Bistro & Flavor」 F&C 美食日記,凱薩西餐牛排｜豐盛美味自助吧｜一週只賣三天,福來舖。 一人獨享麻辣鍋 自製辣油的麻香滋味讓你停不下來。草原上的夕陽 吃個紅油炒手也能這麼文青。芝山美食推薦/天母麻辣鍋推薦 ,"【新北  玖佰號】火鍋烤豬五花專門店。200元五花吃到翻過去,飲料無限供應,不收服務費",韓記老虎麵食館 邰哥邰智源推薦！東門永康街好吃麻辣麵，私心更愛蔥油餅,各種扯三明治～肉品皆為低溫烹調，享受舒肥完整營養和口感！歡迎外帶，也有外送服務！東區三明治早午餐,FELICITA義食間 平價義式/有裝潢/鋼琴演奏,南京復興美食 窩巢雞蛋糕-牽絲雞蛋糕！雞蛋盒裝太可愛！(附窩巢雞蛋糕MENU),二月半そば | 像來到日本的道地蕎麥麵專賣店,鹿境早午餐 Arrival Brunch & Cafe｜用大份量豐盛早午餐開啟美好早晨，喝杯brunchtail微醺片刻,阿淑小吃｜現點現炒肉絲飯、豐富配料的大碗什錦湯｜台北士林區・捷運劍潭站
餐廳名稱,諾緯手工鮮奶泡芙店,爸爸Kevin美食BBQ,Lisa泰式美食,拿走雞蛋糕,近鐵餐飲 鰻 江戶川,壽司飯丸專賣店 - 兄弟大飯店,喬喜蛋炒飯專賣店,維記茶餐廳 (原維多利亞茶餐廳),丰禾日麗 台北南京東店,昨天 Bistro & Flavor,凱薩西餐牛排長安總店,福來舖 麻辣個人鍋,玖佰號,韓記老虎麵食館,各種扯三明治,FELICITA 義食間,窩巢雞蛋糕-牽絲雞蛋糕,二月半そば,鹿境早午餐 Arrival Brunch & Cafe,阿淑小吃
評級,4,4.8,4.4,無紀錄,3.9,4.1,3.7,3.6,4.6,4.7,4.1,4.7,4.1,4.2,4.8,4.6,無紀錄,4.3,4.9,無紀錄
美食所在區域,中山區,中山區,大同區,大安區,中山區,松山區,中正區,萬華區,中山區,大安區,中山區,士林區,萬華區,大安區,大安區,松山區,中山區,中山區,松山區,士林區
產生日期,2019/04/16,2019/04/19,2019/04/14,2019/04/17,2019/04/19,2019/04/15,2019/04/18,2019/04/13,2019/04/17,2019/04/14,2019/04/16,2019/04/15,2019/04/16,2019/04/17,2019/04/13,2019/04/13,2019/04/16,2019/04/13,2019/04/15,2019/04/14
觀看人數,3321,3662,3104,2784,2724,2188,2154,2633,1869,1958,1771,1662,1124,1344,1431,1080,1051,1245,1102,1319
收藏人數,340,322,230,208,209,187,171,104,125,143,99,123,100,121,85,98,106,98,79,59
推薦人數,14,11,9,7,10,6,4,7,8,4,3,3,3,4,0,0,0,2,1,4
多少人來過,10人來過,9人來過,12人來過,1人來過,13人來過,3人來過,4人來過,43人來過,8人來過,4人來過,20人來過,8人來過,32人來過,45人來過,3人來過,9人來過,1人來過,56人來過,7人來過,無紀錄
多少篇食記,2篇食記,3篇食記,5篇食記,1篇食記,10篇食記,1篇食記,2篇食記,30篇食記,4篇食記,2篇食記,9篇食記,6篇食記,8篇食記,14篇食記,3篇食記,1篇食記,1篇食記,12篇食記,6篇食記,無紀錄
