,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,大阪爆紅的生吐司在台灣也吃得到囉！超濕潤的口感，吐司邊毫無存在感．Share le Pain 微酵烘焙,台北中山:美天餐室 90年代舊香港茶餐廳，聽劉德華吃西多士、金山醬烤雞腿，再喝杯鴛鴦絲襪奶茶,好食多涮涮屋南西店新開幕，超大肉盤始祖、開幕優惠活龍蝦一隻僅 $300超划算😍 (文末菜單),在地人都電話預訂隱藏版排隊雞排，豆乳鹽酥雞老字號！ 西門町雞排、180c古早味鹽酥雞,浮誇系海鮮麵線，小卷鮮蚵大腸五種配料一次塞爆麵線!! 面線町,福德涼麵│24小時營業│人氣排隊名店,滷味的價格、鐵板燒的食材，雞睪丸、牛鞭、澎湖小卷、日本干貝通通都能滷．美鳳滷味,"台北咖哩飯新開幕-CURRY STAND 1983,好吃日式乾咖哩＆燉牛肉,中山國中站美食推薦",台北人的宵夜和早餐！越晚越多人～劉媽媽涼麵，蒜味濃郁好吃，邪惡半熟蛋,配菜豐富物有所值的日式定食-芝生食堂(忠孝新生店)@捷運忠孝新生站@台北科技大學,傑克兄弟牛排館 臺北信義店 Jack Brothers Steakhouse Taipei｜正宗美式爐烤肋眼牛排．信義區超高CP值牛排館！,何家古制秘糖 甜而不膩的冰品 IG熱門花生豬血糕冰 珍珠奶茶雪花冰/珍想芋見泥 板橋必吃美食 かき氷,"台北東區忠孝復興宵夜聚餐:十二月粥品·茶飲·私房菜大安店,也有一人份的砂鍋粥","揚日式料理(生魚片蓋飯),網友大推超威的生魚丼飯,客製化丼飯,中和巷弄美食,無法訂位",金香豬腳。涼麵＿豪邁的將滷大腸一口塞進嘴巴好過癮＿膠質滿滿的滷肉飯很可以,台北大安｜菊乃屋kikunoya～質感無印風日式自助食堂！東京咖哩姊妹店的美味定食料理（捷運大安站）～,潮州街林記牛肉麵(水缸牛肉麵)，巷弄內平價又神秘的超夯牛肉麵店，記得點隱藏版！,古亭巷弄裡的小日本，用餐時間總是爆滿的正宗大阪燒-紅葉日式愛好燒 お好み焼もみじ||中正區、古亭美食,中崙市場 | 香港陳記燒臘便當粥麵，大推土油雞腿、烤鴨腿  😍,【行天宮早餐推薦】良栗商號 巷弄銷魂美食！爆漿半熟蛋炭烤吐司、冬瓜鮮奶茶
餐廳名稱,Share le Pain微酵烘焙 忠孝復興店,美天餐室 DAY DAY,好食多涮涮屋 南西店,180度C蜜酥雞排,面線町,福德涼麵,美鳳滷味,CURRY STAND 1983,劉媽媽涼麵,芝生食堂 忠孝新生店,傑克兄弟牛排館 Jack Brothers Streakhouse,何家古制秘糖冰甜品鋪,十二月 粥品·茶飲·私房菜(大安店),揚日式料理,金香豬腳涼麵,菊乃屋Kikunoya,潮州街林記牛肉麵 (水缸牛肉麵),紅葉日式愛好燒,香港陳記燒臘便當粥麵,良粟 朝食午膳
評級,3.5,4.6,5,4.5,4.8,3.8,無紀錄,4.7,3.9,4.5,4.4,4.3,4.4,4.7,4.5,無紀錄,4.3,4.2,4,3.9
美食所在區域,大安區,中山區,中山區,萬華區,大同區,中山區,三重區,松山區,松山區,中正區,信義區,板橋區,大安區,中和區,中山區,大安區,大安區,中正區,松山區,中山區
產生日期,2019/05/20,2019/05/20,2019/05/22,2019/05/21,2019/05/20,2019/05/18,2019/05/23,2019/05/24,2019/05/22,2019/05/19,2019/05/18,2019/05/21,2019/05/18,2019/05/19,2019/05/20,2019/05/20,2019/05/21,2019/05/21,2019/05/23,2019/05/18
觀看人數,2559,1501,1080,1590,1251,1629,1602,1402,1375,1153,863,797,611,710,953,752,828,964,930,757
收藏人數,158,172,68,79,80,60,57,66,55,52,65,57,57,54,52,50,55,45,46,47
推薦人數,3,1,5,4,5,5,3,2,2,2,4,1,4,4,1,1,1,1,5,2
多少人來過,4人來過,2人來過,1人來過,10人來過,2人來過,37人來過,無紀錄,1人來過,12人來過,5人來過,1人來過,25人來過,11人來過,22人來過,5人來過,3人來過,23人來過,30人來過,4人來過,41人來過
多少篇食記,3篇食記,2篇食記,1篇食記,4篇食記,2篇食記,16篇食記,無紀錄,1篇食記,9篇食記,2篇食記,1篇食記,10篇食記,5篇食記,4篇食記,3篇食記,2篇食記,5篇食記,11篇食記,2篇食記,18篇食記
