,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,流水蝦正夯，吃泰國蝦吃到厭世！10米水道流水泰國蝦無限吃到飽！泰蝦PA水道泰國蝦吃到飽,一個人也能吃的泰式料理，限量供應CNN評選世界50大美食第一名的巴東牛肉飯．Pretty Thai 泰之霸,台北京站 燒肉LIKE 一人燒肉店，單身也能輕鬆吃烤肉 ,景美美食 滿滿-景美平價美食！韓風炸雞店！咖哩六十元起！(附滿滿MENU),【台北松江南京美食】丰禾日麗台式小館 王品集團新品牌！傳統台菜復刻重現,小山拉麵｜台北市松山區｜不是二郎系應該是二郎インスパイア吧｜總之是超大份量拉麵150元起,萬華美食:濟善老麵 台北雞湯拉麵推薦，招牌老雞湯麵到限定版極黑羽烏骨雞黑拉麵,阿淑小吃 隱身巷弄現炒肉絲飯、排骨飯！在地人推薦平價便當,A&A異國料理 - 台北中正區新開幕異國料理  紐澳良風味特色餐點  還有超牽絲深盤披薩  就是要讓你感到超罪惡,日本超人氣「鳥取Trees bread吐司專賣店」｜超Q超軟的吐司,鄭記豬腳飯 傳承二代66年老店，食尚家推薦台北三大必吃小吃,點八號，東區平價米其林港式飲茶，星級名廚道地港式美食，台北/國父紀念館站美食。,風華正盛十里香，幽幽思念穿腸過《麗芳老樓》 老宅裡的義式美味,面線町｜海陸奢華集合！海王子三寶麵線,內科最夯的排隊美食 富滿堂豬腳極品專賣店 西湖站必吃推薦 菜單,台北市80元吃得到超人氣咖哩飯 六甲章魚燒 中山站排隊美食 街頭暢飲SAPPORO啤酒,Pizza界的LV，頂級酥香餅皮顛覆Pizza口感，義大利米蘭手工窯烤披薩,本鼎堂 台式漢方麻辣鍋。中藥房內吃麻辣鍋 古味十足。可以喝的麻辣湯、麻辣滷肉飯 頭皮發麻也停不下來的好滋味 。大稻埕美食 ,mumi cafe｜DIY自烤吐司｜韓式網美咖啡店｜捷運大安站,傳承四代的七十年川味老麵店＿担担麵和排骨飯都討喜＿老鄧担担麵
餐廳名稱,流水蝦-泰蝦PA水道泰國蝦吃到飽,Pretty Thai 泰之霸,焼肉ライク 燒肉LIKE,滿滿 炸雞 咖哩 燒酒,丰禾日麗 台北南京東店,小山拉麵,濟善老麵,阿淑小吃,A&A異國美食,高級食パン専門店 TREES BREAD,鄭記豬腳飯,點8號-台北光復店,麗芳老樓,面線町,富滿堂豬腳極品,六甲章魚燒,Milano Pizzeria 義大利米蘭手工窯烤披薩,本鼎堂  台式漢方麻辣鍋,mumi cafe,老鄧Lao Deng1949
評級,4.6,4.6,無紀錄,4.6,4.6,無紀錄,4.4,4.4,5,4.7,4.3,4.5,4.8,4.8,3.4,4.3,4.2,無紀錄,無紀錄,3.6
美食所在區域,林口區,大安區,大同區,文山區,中山區,松山區,萬華區,士林區,中正區,松山區,中正區,大安區,中山區,大同區,內湖區,中山區,中山區,大同區,大安區,中正區
產生日期,2019/04/22,2019/04/23,2019/04/25,2019/04/22,2019/04/26,2019/04/24,2019/04/22,2019/04/20,2019/04/20,2019/04/26,2019/04/24,2019/04/20,2019/04/24,2019/04/26,2019/04/21,2019/04/23,2019/04/25,2019/04/20,2019/04/25,2019/04/26
觀看人數,3695,3519,2420,1483,1755,1536,1178,2049,1317,1754,1593,1182,1855,1497,1187,1155,1289,831,1005,2378
收藏人數,180,252,194,132,116,96,133,84,97,116,93,80,85,108,70,80,94,79,94,87
推薦人數,10,7,6,5,8,5,3,3,3,2,4,6,6,2,6,3,4,1,1,2
多少人來過,4人來過,4人來過,8人來過,2人來過,8人來過,2人來過,5人來過,13人來過,3人來過,2人來過,30人來過,9人來過,3人來過,1人來過,17人來過,24人來過,70人來過,1人來過,6人來過,1人來過
多少篇食記,2篇食記,2篇食記,5篇食記,1篇食記,4篇食記,1篇食記,3篇食記,5篇食記,2篇食記,1篇食記,17篇食記,6篇食記,1篇食記,1篇食記,7篇食記,9篇食記,58篇食記,1篇食記,4篇食記,1篇食記
