,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,台北美食面對面｜來自馬來西亞風味小吃台北1號店新開幕,面對面 Face to Face Noodle House,4.5,中山區,2019/04/07,3685,298,8,4人來過,2篇食記
第二名,台北 mumi cafe｜咖啡館裡我們一起烤吐司。,mumi cafe,無紀錄,大安區,2019/04/12,2123,204,5,3人來過,2篇食記
第三名,中永和排隊早餐名店，上班遲到都要買！超豐滿爆料三明治！EVERYDAY CAFE-永和頂溪店,EVERYDAY CAFE肉蛋吐司,4.3,永和區,2019/04/06,2199,127,4,5人來過,3篇食記
第四名,男子漢開的早餐店，漢堡霸氣夾入雙肉排外還下麵給你吃！男子漢早餐店,男子漢早餐店,無紀錄,板橋區,2019/04/09,2173,123,6,1人來過,1篇食記
第五名,台北美食 | 松青潤餅。2019米其林必比登 還沒開攤人潮延伸五個店面長，一個銅板飽吃米其林！(小南門站),松青潤餅,4.4,中正區,2019/04/08,2214,123,4,5人來過,2篇食記
第六名,士林文青飯糰，超重量級大飯糰，給你滿滿8小時的續航力！畝丘飯糰,畝丘飯糰 Mucho Be One,4.8,士林區,2019/04/10,1870,119,6,2人來過,1篇食記
第七名,TAEBAK大發，發現平價韓國炸雞飯/韓國料理/小菜免費續加,TaeBak 韓式特色料理 南京店,4.2,中山區,2019/04/08,1869,128,6,9人來過,5篇食記
第八名,雄記蔥抓餅，台北米其林必比登推薦，一開攤就現排隊潮，營業時間到凌晨12點半，公館宵夜美食推薦!!,雄記蔥抓餅,4.6,中正區,2019/04/11,1640,101,4,3人來過,2篇食記
第九名,傳統低調的麵包店，藏著牛排店大家最愛的的副餐奶油餐包，一次一大包不用再爭搶．大不同餐包,大不同餐包,3.7,三重區,2019/04/12,3144,74,1,2人來過,1篇食記
第十名,まるみち丸道燒肉 台北店｜道地日本燒肉店開來台灣囉!忠孝敦化燒肉推薦!,まるみち丸道燒肉台北店,4.3,大安區,2019/04/12,1478,78,4,12人來過,7篇食記
第十一名,蔬菜吃到飽燒肉-生菜包肉-綾aya/中山美食/中山燒肉,燒肉 生菜包肉綾AYA,4.8,中山區,2019/04/08,1455,96,2,3人來過,3篇食記
第十二名,【台北港式飲茶吃到飽】故宮晶華 超過50道粵菜熱炒、港式點心無限吃推薦,故宮晶華,4.1,士林區,2019/04/11,1760,69,4,21人來過,16篇食記
第十三名,玖佰號 韓式五花肉烤肉+平價火鍋｜寶興街美食、韓式烤肉200元吃超飽、無低消免服務費｜附玖佰號菜單,玖佰號,4.2,萬華區,2019/04/09,931,76,4,31人來過,8篇食記
第十四名,五華街好吃雞肉飯 平價雞肉一盤只要55元！在地人推薦從小吃到大,五華街好吃雞肉飯,3.5,三重區,2019/04/12,2143,91,4,21人來過,6篇食記
第十五名,來自日本神戶的超人氣甜點店 KOBE SWEETS CAFE 神戶果實 微風南山排隊美食 草莓季 草莓捲 信義區甜點,KOBE SWEETS CAFE,4,信義區,2019/04/08,1727,75,4,8人來過,5篇食記
第十六名,"西螺麻糬大王台北西門店 -西門町散步逛街必買美食,素食者也可以吃",西螺麻糬大王 台北西門店,無紀錄,萬華區,2019/04/11,931,74,4,3人來過,2篇食記
第十七名,灶頂原汁排骨湯、高麗菜飯 ｜2019米其林必比登推介｜台北大同區・延三夜市,"原汁排骨湯,高麗菜飯",4.2,大同區,2019/04/10,1366,76,2,21人來過,15篇食記
第十八名,天母美食推薦|岳家小館 士東市場美食 超大餛飩好滿足,岳家小館,4.4,士林區,2019/04/07,748,85,3,10人來過,7篇食記
第十九名,勝男家牛肉豚骨拉麵-澳門紅回台灣激推麻辣牛肉麵 /海山捷運站 /土城牛肉麵,勝男家牛肉豚骨拉麵,無紀錄,土城區,2019/04/09,998,62,2,2人來過,2篇食記
第二十名,"悅品飲茶 Yuepin Dim Sum,景觀最美的港式飲茶餐廳(菜單)",悅品飲茶 Yuepin Dim Sum,無紀錄,信義區,2019/04/06,1501,53,2,2人來過,2篇食記
