,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,余文樂從小吃到大！香港來的超人氣美食～開幕每天都大排長龍不吃不行的「華嫂冰室」（菜單）｜Fattie & Chubbie,華嫂冰室,4,大安區,2019/04/04,5075,246,6,12人來過,8篇食記
第二名,普里鹹油條，來自埔里的特色早餐，僅販售早餐、消夜時段,普里鹹油條 台北總部,4.7,中正區,2019/04/03,3040,209,8,8人來過,3篇食記
第三名,烏石水產火鍋超市(烤)-金鋒滷肉飯、咖哩飯吃到飽！小蒙牛餐飲集團新推出！低消 $250 換湯頭也可抵！內有幾家超市火鍋小比較,烏石水產火鍋超市(烤)-三創店,5,中山區,2019/04/05,5402,192,8,3人來過,2篇食記
第四名,東區炸雞-ZAC ZAG 一楽炸雞.特製濕醬.招牌醬蒜雞、麻辣雞.大安炸雞.聚會約會速食餐廳.近信義安和捷運站、世貿101捷運,ZAC ZAG 一楽炸雞,4.4,大安區,2019/03/31,1501,116,6,6人來過,5篇食記
第五名,N 訪健康與美味兼顧 吃一口就愛上ㄟ高 CP 值澳式風情咖啡館 - Caffe' Rue 路口咖啡｜芝山站,Caffe’ Rue 路口加啡,4.8,士林區,2019/04/01,2310,161,7,8人來過,5篇食記
第六名,必吃隱藏版甜點，高CP無低消不限時韓式裱花蛋糕!!花甜居烘焙,花甜居烘焙,4.9,中正區,2019/04/05,2242,194,6,1人來過,1篇食記
第七名,食鮮日式火鍋 399吃到飽免服務費平價火鍋,食鮮日式火鍋,3.4,中山區,2019/04/02,1921,113,4,10人來過,6篇食記
第八名,台北美食食芋堂-凱帝蛋糕｜芋頭控絕對不能錯過的東區美食,凱帝,4.5,大安區,2019/04/02,1525,130,5,13人來過,6篇食記
第九名,日賣400份爆料手作吐司 EVERYDAY CAFE - toast.coffee.tea 永和必吃早午餐 頂溪站排隊美食 外帶早餐,EVERYDAY CAFE肉蛋吐司,4.4,永和區,2019/04/02,1672,84,1,6人來過,3篇食記
第十名,大理石、粉紅網美牆！公館新開幕給你浮誇視覺系義大利麵～平價就能擁有的高CP值美食「BFF」｜Fattie & Chubbie,#BFF Gossip Brunch 早午餐,4.1,中正區,2019/04/05,1453,121,7,4人來過,3篇食記
第十一名,必比登推介美食 阿城鵝肉 鵝肉切盤 鵝油拌飯 辣拌乾意麵 鵝腳 清蒸麻辣臭豆腐 內有菜單,阿城鵝肉,4.3,中山區,2019/04/03,1971,117,9,19人來過,9篇食記
第十二名,好神燒肉-goodgodyakiniku和牛吃到飽/火烤兩吃,好神燒肉,4.6,中正區,2019/03/30,1917,114,3,4人來過,4篇食記
第十三名,中原素麵食，美食家胡天蘭推薦的素食手工麵店，一天只賣2.5小時｜附中原素麵店營業時間,中原麵店,4.4,中正區,2019/03/30,1853,80,3,17人來過,4篇食記
第十四名,科技大樓美食推薦|阿英羊肉羹 一試成主顧 阿英海產粥另一力作 (菜單),阿英羊肉羹,無紀錄,大安區,2019/04/01,1331,99,3,無紀錄,無紀錄
第十五名,賣麵炎仔(金泉小吃店)│米其林必比登推介的人氣紅燒肉，拼著排隊也要吃！ 台北炸燒肉、紅燒肉推薦,賣麵炎仔,4.3,大同區,2019/04/04,1933,87,5,37人來過,22篇食記
第十六名,三味糖餅 sammat 삼맛호떡 -- 師大夜市韓國甜食小吃，Q軟香甜的糖餅。,三味糖餅 sammat 삼맛호떡,4.3,大安區,2019/04/04,1056,104,3,5人來過,3篇食記
第十七名,新品牌蔥月:微風北車牛肉麵 小籠包 陝西酸辣油潑麵，超直白分享,蔥月,無紀錄,中正區,2019/04/02,1143,71,4,1人來過,1篇食記
第十八名,星馬廚房 -- 平價大馬傳統家鄉味料理，鮮嫩美味的海南雞和燒雞腿。,海南佬星馬廚房,4.3,板橋區,2019/03/31,1163,64,4,6人來過,4篇食記
第十九名,南京三民美食推薦|周家鮮肉餛飩 好吃又大份量 台北餛飩推薦 (菜單menu價錢),周家鮮肉餛飩,4,松山區,2019/03/30,986,77,4,16人來過,7篇食記
第二十名,Soba Shinn & 柑橘 雞白湯柑橘蛤蜊拉麵！好吃的不只油拌麵,Aburasoba SHIN,4.5,大安區,2019/04/02,1240,89,4,25人來過,12篇食記
